"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started"
"Nurmijärvi Röykkä",101149,1321,2983,60.51,24.65,111,"Weather",1952
"Oripää Teinikivi",101081,1117,NA,60.9,22.71,82,"Precipitation",1968
"Oulu airport",101786,5401,2875,64.93,25.37,11,"Weather",1953
"Oulu keskusta 2",103125,NA,NA,65.01,25.47,5,"Air quality (urban)",1997
"Oulu Nokela",103124,NA,NA,64.99,25.48,8,"Air quality (urban)",1979
"Oulu Oulunsalo Pellonpää",101799,5414,2851,64.94,25.37,10,"Weather",2007
"Oulu Pyykkösjärvi",103126,NA,NA,65.04,25.5,8,"Air quality (urban)",1991
"Oulu Santapankki",103807,NA,NA,65.23,24.97,0,"Buoy",2015
"Oulu Toppila",134248,NA,NA,65.04,25.42,0,"Mareograph",1922
"Oulu Vihreäsaari harbour",101794,5409,2876,65.01,25.39,3,"Weather",1996
"Outokumpu Viuruniemi",101590,3703,NA,62.62,28.94,113,"Precipitation",1961
"Parainen",104064,NA,NA,60.3,22.3,3,"Air quality (urban)",2010
"Parainen Fagerholm",100924,19,2950,60.11,21.7,3,"Weather",1989
"Parainen Parainen",100843,NA,NA,60.3,22.28,20,"Air quality (urban)",2013
"Parainen Rumar",100926,21,2933,60.13,21.64,61,"Radar",1997
"Parainen Utö",100908,2,2981,59.78,21.37,6,"Air quality, Precipitation, Weather",1881
"Parikkala Koitsanlahti",101254,1802,2734,61.44,29.46,74,"Weather",1991
"Pelkosenniemi parish village",101947,7604,NA,67.1,27.51,155,"Precipitation",1968
"Pelkosenniemi Pyhätunturi",101958,7708,2705,67.02,27.22,491,"Weather",1995
"Pello parish",101914,7307,2844,66.77,23.96,85,"Weather",1970
"Petäjävesi Kintaus",103813,NA,2775,62.3,25.44,271,"Radar",2015
"Pieksämäki Savontie",104108,NA,NA,62.3,27.16,111,"Air quality (urban)",2007
"Pielavesi Venetmäki",101569,3516,NA,63.32,26.98,189,"Precipitation",1986
"Pietarsaari Bottenviksvägen",103152,NA,NA,63.68,22.72,8,"Air quality (urban)",1994
"Pietarsaari Kallan",101660,4108,2920,63.75,22.52,2,"Weather",1995
